"","country","agegrp","st","year","N_cases","pct","total_cases"
"196","Austria",5,"17A",2010,0,0,151.9999998328
"197","Austria",5,"17A",2012,0,0,127.9999998976
"198","Austria",5,"17A",2013,0,0,182.9999997072
"199","Austria",5,"17A",2014,0,0,167.9999997816
"200","Austria",5,"17A",2015,0,0,238.9999995459
"201","Austria",5,"17A",2016,0,0,237.9999994764
"202","Austria",5,"17A",2017,0,0,300.9999993077
"203","Austria",5,"17A",2018,0,0,350.9999994735
"204","Austria",5,"17A",2019,0,0,370.9999995548
"205","Austria",5,"17F",2010,1.1014492736,0.00724637680797101,151.9999998328
"206","Austria",5,"17F",2012,0,0,127.9999998976
"207","Austria",5,"17F",2013,1.1366459583,0.00621118010993789,182.9999997072
"208","Austria",5,"17F",2014,2.3013698568,0.0136986301178082,167.9999997816
"209","Austria",5,"17F",2015,1.1380952233,0.00476190470904762,238.9999995459
"210","Austria",5,"17F",2016,2.213953469,0.00930232552046512,237.9999994764
"211","Austria",5,"17F",2017,1.0788530193,0.00358422930824373,300.9999993077
"212","Austria",5,"17F",2018,2.1666666645,0.00617283950925926,350.9999994735
"213","Austria",5,"17F",2019,4.37758111,0.0117994100141593,370.9999995548
"214","Austria",5,"18",2010,0,0,151.9999998328
"215","Austria",5,"18",2012,0,0,127.9999998976
"216","Austria",5,"18",2013,0,0,182.9999997072
"217","Austria",5,"18",2014,0,0,167.9999997816
"218","Austria",5,"18",2015,0,0,238.9999995459
"219","Austria",5,"18",2017,0,0,300.9999993077
"220","Austria",5,"18",2019,0,0,370.9999995548
"221","Austria",5,"18A",2010,1.1014492736,0.00724637680797101,151.9999998328
"222","Austria",5,"18A",2012,0,0,127.9999998976
"223","Austria",5,"18A",2013,1.1366459583,0.00621118010993789,182.9999997072
"224","Austria",5,"18A",2014,0,0,167.9999997816
"225","Austria",5,"18A",2015,1.1380952233,0.00476190470904762,238.9999995459
"226","Austria",5,"18A",2016,0,0,237.9999994764
"227","Austria",5,"18A",2017,0,0,300.9999993077
"228","Austria",5,"18A",2018,0,0,350.9999994735
"229","Austria",5,"18A",2019,1.0943952775,0.00294985250353982,370.9999995548
"230","Austria",5,"18B",2010,0,0,151.9999998328
"231","Austria",5,"18B",2012,0,0,127.9999998976
"232","Austria",5,"18B",2013,0,0,182.9999997072
"233","Austria",5,"18B",2014,0,0,167.9999997816
"234","Austria",5,"18B",2017,0,0,300.9999993077
"235","Austria",5,"18B",2018,0,0,350.9999994735
"236","Austria",5,"18B",2019,0,0,370.9999995548
"237","Austria",5,"18C",2010,1.1014492736,0.00724637680797101,151.9999998328
"238","Austria",5,"18C",2012,3.160493824,0.0246913580197531,127.9999998976
"239","Austria",5,"18C",2013,0,0,182.9999997072
"240","Austria",5,"18C",2014,0,0,167.9999997816
"241","Austria",5,"18C",2015,1.1380952233,0.00476190470904762,238.9999995459
"242","Austria",5,"18C",2016,1.1069767226,0.00465116271023256,237.9999994764
"243","Austria",5,"18C",2017,4.3154121675,0.0143369175329749,300.9999993077
"244","Austria",5,"18C",2018,3.2499999792,0.00925925921388889,350.9999994735
"245","Austria",5,"18C",2019,5.4719763875,0.0147492625176991,370.9999995548
"246","Austria",5,"18F",2010,0,0,151.9999998328
"247","Austria",5,"18F",2013,1.1366459583,0.00621118010993789,182.9999997072
"248","Austria",5,"18F",2015,0,0,238.9999995459
"249","Austria",5,"18F",2016,0,0,237.9999994764
"250","Austria",5,"19A",2010,6.6086956416,0.0434782608478261,151.9999998328
"251","Austria",5,"19A",2012,7.90123456,0.0617283950493827,127.9999998976
"252","Austria",5,"19A",2013,15.9130434711,0.0869565218391304,182.9999997072
"253","Austria",5,"19A",2014,5.7534246504,0.0342465753445205,167.9999997816
"254","Austria",5,"19A",2015,20.4857142823,0.0857142858628571,238.9999995459
"255","Austria",5,"19A",2016,16.6046511484,0.0697674419534884,237.9999994764
"256","Austria",5,"19A",2017,34.5232974905,0.114695340763799,300.9999993077
"257","Austria",5,"19A",2018,58.4999999766,0.16666666685,350.9999994735
"258","Austria",5,"19A",2019,71.1356931859,0.191740413130089,370.9999995548
"259","Austria",5,"19B",2014,0,0,167.9999997816
"260","Austria",5,"19B",2016,0,0,237.9999994764
"261","Austria",5,"19B",2017,0,0,300.9999993077
"262","Austria",5,"19B",2018,0,0,350.9999994735
"263","Austria",5,"19C",2012,0,0,127.9999998976
"264","Austria",5,"19C",2013,0,0,182.9999997072
"265","Austria",5,"19C",2014,0,0,167.9999997816
"266","Austria",5,"19C",2017,0,0,300.9999993077
"267","Austria",5,"19F",2010,7.7101449152,0.0507246376557971,151.9999998328
"268","Austria",5,"19F",2012,1.580246912,0.0123456790098765,127.9999998976
"269","Austria",5,"19F",2013,2.2732919166,0.0124223602198758,182.9999997072
"270","Austria",5,"19F",2014,4.6027397136,0.0273972602356164,167.9999997816
"271","Austria",5,"19F",2015,5.6904761882,0.0238095238452381,238.9999995459
"272","Austria",5,"19F",2016,3.3209302154,0.0139534883306977,237.9999994764
"273","Austria",5,"19F",2017,1.0788530193,0.00358422930824373,300.9999993077
"274","Austria",5,"19F",2018,0,0,350.9999994735
"275","Austria",5,"19F",2019,2.188790555,0.00589970500707964,370.9999995548
"276","Austria",5,"2",2012,0,0,127.9999998976
"277","Austria",5,"2",2013,0,0,182.9999997072
"278","Austria",5,"2",2015,0,0,238.9999995459
"279","Austria",5,"2",2016,0,0,237.9999994764
"280","Austria",5,"2",2019,0,0,370.9999995548
"281","Austria",5,"20",2010,1.1014492736,0.00724637680797101,151.9999998328
"282","Austria",5,"20",2012,3.160493824,0.0246913580197531,127.9999998976
"283","Austria",5,"20",2013,1.1366459583,0.00621118010993789,182.9999997072
"284","Austria",5,"20",2014,2.3013698568,0.0136986301178082,167.9999997816
"285","Austria",5,"20",2015,2.2761904705,0.00952380951809524,238.9999995459
"286","Austria",5,"20",2016,1.1069767226,0.00465116271023256,237.9999994764
"287","Austria",5,"20",2017,3.2365591181,0.0107526881247312,300.9999993077
"288","Austria",5,"20",2018,3.2499999792,0.00925925921388889,350.9999994735
"289","Austria",5,"20",2019,8.75516222,0.0235988200283186,370.9999995548
"290","Austria",5,"21",2010,0,0,151.9999998328
"291","Austria",5,"21",2012,0,0,127.9999998976
"292","Austria",5,"21",2013,0,0,182.9999997072
"293","Austria",5,"21",2014,0,0,167.9999997816
"294","Austria",5,"21",2015,1.1380952233,0.00476190470904762,238.9999995459
"295","Austria",5,"21",2016,0,0,237.9999994764
"296","Austria",5,"21",2017,0,0,300.9999993077
"297","Austria",5,"21",2018,0,0,350.9999994735
"298","Austria",5,"21",2019,2.188790555,0.00589970500707964,370.9999995548
"299","Austria",5,"22",2010,0,0,151.9999998328
"300","Austria",5,"22",2012,0,0,127.9999998976
"301","Austria",5,"22",2013,0,0,182.9999997072
"302","Austria",5,"22",2014,0,0,167.9999997816
"303","Austria",5,"22",2015,0,0,238.9999995459
"304","Austria",5,"22",2016,0,0,237.9999994764
"305","Austria",5,"22",2017,0,0,300.9999993077
"306","Austria",5,"22",2018,0,0,350.9999994735
"307","Austria",5,"22",2019,0,0,370.9999995548
"308","Austria",5,"22A",2012,0,0,127.9999998976
"309","Austria",5,"22A",2013,0,0,182.9999997072
"310","Austria",5,"22A",2014,0,0,167.9999997816
"311","Austria",5,"22A",2015,0,0,238.9999995459
"312","Austria",5,"22A",2016,0,0,237.9999994764
"313","Austria",5,"22A",2017,0,0,300.9999993077
"314","Austria",5,"22A",2018,0,0,350.9999994735
"315","Austria",5,"22A",2019,0,0,370.9999995548
"316","Austria",5,"22F",2010,4.4057970944,0.0289855072318841,151.9999998328
"317","Austria",5,"22F",2012,0,0,127.9999998976
"318","Austria",5,"22F",2013,5.6832298098,0.0310559006496894,182.9999997072
"319","Austria",5,"22F",2014,4.6027397136,0.0273972602356164,167.9999997816
"320","Austria",5,"22F",2015,13.6571428469,0.0571428572085714,238.9999995459
"321","Austria",5,"22F",2016,19.9255813876,0.083720930384186,237.9999994764
"322","Austria",5,"22F",2017,18.3405017796,0.0609318997401434,300.9999993077
"323","Austria",5,"22F",2018,21.666666645,0.0617283950925926,350.9999994735
"324","Austria",5,"22F",2019,17.5103244771,0.0471976401566372,370.9999995548
"325","Austria",5,"23",2010,0,0,151.9999998328
"326","Austria",5,"23",2012,0,0,127.9999998976
"327","Austria",5,"23",2013,0,0,182.9999997072
"328","Austria",5,"23",2014,0,0,167.9999997816
"329","Austria",5,"23",2015,0,0,238.9999995459
"330","Austria",5,"23",2016,0,0,237.9999994764
"331","Austria",5,"23",2017,0,0,300.9999993077
"332","Austria",5,"23",2018,0,0,350.9999994735
"333","Austria",5,"23",2019,0,0,370.9999995548
"334","Austria",5,"23A",2010,5.507246368,0.0362318840398551,151.9999998328
"335","Austria",5,"23A",2012,4.740740736,0.0370370370296296,127.9999998976
"336","Austria",5,"23A",2013,2.2732919166,0.0124223602198758,182.9999997072
"337","Austria",5,"23A",2014,3.4520547936,0.0205479452267123,167.9999997816
"338","Austria",5,"23A",2015,4.552380941,0.0190476190361905,238.9999995459
"339","Austria",5,"23A",2016,6.6418604546,0.0279069767613953,237.9999994764
"340","Austria",5,"23A",2017,8.6308243651,0.0286738351659498,300.9999993077
"341","Austria",5,"23A",2018,20.5833333303,0.058641975387963,350.9999994735
"342","Austria",5,"23A",2019,9.8495574975,0.0265486725318584,370.9999995548
